체고

굿
편함.
잘쓰고있는데 등록된 자동이체 목록이 날짜순으로 정렬좀 됐음 좋겟어요 올림차순이든 내림차순이든.. 뒤죽박죽이라 잘쓰는 기능인데 헷갈리네요
편하고 좋아요~그리고 무료 송금 할 수 있어서 좋아요.
"아니면 돈 개념이 좀 부족한 학생들을 위해서 한달, 하루 동안 쓸 금액을 설정하고 그 만큼 쓰면 결제가 더 안되게 하는 기능이 있으면 더 좋을 거 같아요 근데 그런 기능 은행 같은 곳에서 만들 수 있게 해주려나.."
편해요
좋아요 감사합니다
굿
친구랑 만보하던것 좋았는데..다시 돌아갈 수 없을까요
편하게송금할수있어좋아요
좋아요
편리하니 좋네요~~
편함
편해요
좋음
펼리해요
잔액이얼마인지요
아주펼리함니다
좋아요
조아요
너무 좋아 잘 쓰고 있어요
너무 사용하기편리하고 토스머니적립도 하고 좋아서 선택했어요.
편 리
이체 수수료가 없어 좋아요 여러가지 유용한 기능두 많네요
공인인증서가 필요없어 편해요.
토스 뱅크 빨리 대출 받고 싶어용
너무도움되고좋은정보줘서너무좋아요
딸이 설치해줘서 편리하게 사용하고있어요
완전 좋아요
편리해요
넘쉽고 편리합니다 ㅎ~
굿입니다
편함
늘 잘쓰고있어요 토스.... 감사합니다
은행업무 한방에 처리되니 확실히 편하네요
평생무료 송금 최고입니다
카카오보다 더 편해요
여러 개 통장의 잔고 확인과 송금이 간편해서 좋아요 잘 쓰고 있어요
좋아용
좋아요
토스증권사용중 넘 편리해서 좋습니다.
아주조아요
토스 너무 쓰기 편리하고 좋아요
오랜기간 토스사용하고있습니다 진지하게 토스는 혁명이라볼수있죠 솔직히 이정도 퀄리티의 앱 절대없다고봅니다
굿좋아요~
좋음
좋아요
굿~
굿
가입하고 반년을 사용 안 하다가 다시 깔았는데 전에는 보였던 비상금 모으기가 안 보입니다.,오류인가요
간편하고 쓰기 편함.,스토어 리뷰 답글 다는 사람 밀어내고 내가 취직하고 싶을 정도임.
넘편해요
편리하다
굿
내옆에 비서하나가 있는 느낌 아주 재무관리를 잘해요
좋아요
과태료 못낼뻔한거 가산세없이 납부하게 해줌
편리성
혜택도 많고 편해요
세상 펀해요
편해요~
모든 은행의 통합관리와 다양한 서비스가 유익합니다
좋아 요
쓸만해요
편리하며 정보제공에만족한다
좋아요 사용하기 편하고
좋아요~
좋아요
그냥 처음부터 이거 쓰면됨 다른거 써보셔도 상관없음 어차피 결론은 토스
아주 유용히 잘 쓰고있습니다
좋아요
다른 은행앱에서는 찾아봐야 할것을 잘 정리해 험화면에 보여 줌.
잘 사용 하고 잇어요 가져오기 기능이 주 통장 말고 더 주가 됫으면 함니다
KB국민카드에서 내역을 읽지못합니다.,업데이트 후 카드 연결을 하려하니 응답형식에 문제가 있다네요
너무 마음에 드는 금융 어플 입니다 토스 하나로 삶의 질이 달라졌어요 엄마도 알려드렸더니 송금이 너무 편하다고 좋아하십니다 이제것 은행에서 송금하셨거든요 진작 신경쓰지 못해 미안했어요
저의 개인 비서입니다
빠르고 간편해서 좋아요
최고예요 모르는내돈도찾아주공
좋아요를
좋아요.
대박
토스 비상금 버튼은 사람 가려가며 나오나요 누구한테는 보이고 누구한테는 안보이고..왜 이러는 거죠
좋아요
토스 정말 편하고 좋아요 많은 도움이 되고있습니다
제 문졔였네요.,잘해결했습니다 답변주셔 감사합니다
보기편합니다 너무 좋아요 최고입니다
편하고 좋아요
"요즘 계좌도 업데이트 안되고, 금액변동도 안되고 토스 조금 그렇네요."
Very good
편해요~ 좋음
감사합니다
너무 유익하고 좋네요
금융 솔루션 최고앱
진짜 최고의 앱이다
"가끔 이상한 현상들도 있지만, 관리가 어느정도는 되면서 한눈에 전체가 보이니, 만족합니다."
잘사용하고있었는데 몇일전부터 전에 내용을 확인할수가없네요 최근 몇일꺼만 계속 연결되서 뜨네요 빨리 해결해주세요~
최고... 다른 금융앱 필요없음
토스 만드신 분들 존경합니다.
아주좋은 아이템 입니다
아주좋음
토스이용 정말 편리했습니다 그래서 저는 왠만하면 토스로만합니다.만족
사용내역 때문에 다시 탈퇴후 재가입
국민은행 앱 대신 송금시 편함
굿
다 좋아요.,근데 토스 증권도 이용하고 싶은데요.,예약매도 기능이 없어서 안쓰고 있어요.,예약매도기능 넣어줄 계획이 있나요
토스 유용하게 잘 사용하고 있습니다.,요 근래에 오류때문에 계좌내역이 계속 중복으로 뜨네요.. 위아래로 움직이면 날짜랑 내역 계속 중복으로 겹쳐져서..
편하고좋음
추천받아사용중인데 편리하고 좋아요
굿
좋아요
