WORD,TAG,reinforcer,score,count
가격,NNP,1,0,3
가계,NNG,1,0,2
가계,NNP,1,0,1
가계도,NNP,1,0,1
가계부,NNP,1,0,60
가관,NNG,1,0,5
가구,NNP,1,0,3
가급적,MAG,1,0,2
가까스로,MAG,1,0,1
가까이,MAG,1,0,63
가까이,NNG,1,0,2
가깝,VA,1,0,40
가꾸,VV,1,0,3
가끔,MAG,1,0,484
가끔가다,MAG,1,0,4
가나,NNP,1,0,7
가난,NNG,1,0,3
가늠,NNG,1,0,2
가능,NNG,1,0,16
가능,XR,1,0,1804
가능도,NNP,1,0,1
가니,NNP,1,0,6
가다듬,VV,1,0,1
가닥,NNG,1,0,1
가도,NNP,1,0,101
가독,NNP,1,0,2
가독성,NNP,1,0,141
가동,NNG,1,0,8
가드,NNP,1,0,1
가득,MAG,1,0,24
가뜩이나,MAG,1,0,10
가래,NNP,1,0,3
가로,NNP,1,0,20
가르치,VV,1,0,16
가리,NNP,1,0,3
가리,VV,1,0,24
가리키,VV,1,0,1
가만,MAG,1,0,2
가만있,VV,1,0,1
가만히,MAG,1,0,3
가맹점,NNG,1,0,2
가면,NNP,1,0,1
가무,NNG,1,0,1
가미,NNG,1,0,1
가방,NNP,1,0,1
가벼이,MAG,1,0,1
가볍,VA,1,0,87
가쁘,VA,1,0,1
가산금,NNP,1,0,1
가산세,NNG,1,0,1
가상,NNG,1,0,15
가상 키보드,NNP,1,0,1
가상화,NNP,1,0,1
가성,NNP,1,0,1
가수,NNG,1,0,1
가스,NNP,1,0,1
가슴,NNG,1,0,3
가시,NNG,1,0,32
가시,NNP,1,0,12
가시,VV,1,0,16
가식,NNG,1,0,2
가야,NNP,1,0,66
가없,VA,1,0,3
가오,NNP,1,0,1
가옥,NNG,1,0,1
가요,NNP,1,0,925
가요제,NNG,1,0,1
가용,NNG,1,0,1
가용성,NNP,1,0,1
가운데,NNG,1,0,7
가이,NNP,1,0,1
가이드,NNP,1,0,12
가이드라인,NNP,1,0,3
가인,NNP,1,0,7
가임,NNG,1,0,1
가입,NNG,1,0,1255
가입자,NNG,1,0,12
가자,NNP,1,0,7
가장,MAG,1,0,615
가장자리,NNG,1,0,2
가재,NNP,1,0,1
가정,NNG,1,0,2
가정교육,NNP,1,0,2
가져가,VV,1,0,14
가져오,VV,1,0,55
가족,NNG,1,0,64
가족회,NNG,1,0,1
가지,VV,1,0,203
가지,VX,1,0,19
가지가지,NNG,1,0,7
가짓수,NNG,1,0,3
가짜,NNG,1,0,4
가치,NNG,1,0,11
가하,VV,1,0,1
가히,MAG,1,0,2
각,NNG,1,0,3
각각,MAG,1,0,22
각각,NNG,1,0,10
각기,MAG,1,0,2
각도,NNP,1,0,1
각별,XR,1,0,1
각별히,MAG,1,0,2
각성,NNG,1,0,2
각성,NNP,1,0,1
각양각색,NNG,1,0,1
각오,NNG,1,0,2
각자,MAG,1,0,4
각자,NNG,1,0,2
각종,NNG,1,0,157
각지,NNG,1,0,1
간간이,MAG,1,0,14
간격,NNG,1,0,3
간결,XR,1,0,100
간곡히,MAG,1,0,2
간다,NNP,1,0,20
간단,XR,1,0,657
간단명료,NNG,1,0,13
간단히,MAG,1,0,55
간략,XR,1,0,18
간략히,MAG,1,0,2
간사,XR,1,0,2
간소,XR,1,0,42
간식,NNP,1,0,4
간신히,MAG,1,0,8
간의,NNP,1,0,6
간절,XR,1,0,1
간접,NNG,1,0,2
간주,NNG,1,0,1
간지,NNP,1,0,4
간추리,VV,1,0,2
간판,NNP,1,0,1
간편,XR,1,0,3938
간편결제,NNP,1,0,9
간편히,MAG,1,0,39
간헐,NNG,1,0,6
간호,NNP,1,0,1
간혹,MAG,1,0,49
갇히,VV,1,0,2
갈,VV,1,0,43
갈고,NNP,1,0,1
갈구,NNG,1,0,1
갈기갈기,MAG,1,0,1
갈등,NNG,1,0,4
갈라,NNP,1,0,3
갈리,VV,1,0,6
갈수,NNG,1,0,5
갈수록,MAG,1,0,60
갈아엎,VV,1,0,3
갈아입,VV,1,0,1
갈아타,VV,1,0,179
갈음,NNG,1,0,1
갈이,NNG,1,0,10
감,NNG,1,0,93
감,VV,1,0,2
감각,NNG,1,0,5
감격,NNG,1,0,1
감과,NNP,1,0,2
감당,NNG,1,0,7
감동,NNG,1,0,12
감면,NNG,1,0,1
감무,NNG,1,0,2
감봉,NNG,1,0,2
감사,NNG,1,0,834
감사,NNP,1,0,1
감성,NNG,1,0,2
감성,NNP,1,0,4
감소,NNG,1,0,2
감수,NNG,1,0,9
감수성,NNP,1,0,1
감시,NNG,1,0,2
감시,NNP,1,0,1
감안,NNG,1,0,4
감액,NNG,1,0,1
감염,NNG,1,0,1
감염,NNP,1,0,3
감자,NNG,1,0,1
감자,NNP,1,0,2
감정,NNG,1,0,1
감정,NNP,1,0,2
감지,NNG,1,0,41
감탄,NNG,1,0,3
감편,NNG,1,0,2
감히,MAG,1,0,5
갑,NNG,1,0,12
갑갑,XR,1,0,6
갑인,NNP,1,0,2
갑자기,MAG,1,0,885
갑작스럽,VA,1,0,6
값,NNG,1,0,60
값싸,VA,1,0,1
갓,MAG,1,0,6
갓,NNG,1,0,7
강,NNG,1,0,75
강,NNP,1,0,127
강구,NNG,1,0,2
강국,NNP,1,0,1
강남스타일,NNP,1,0,1
강도,NNG,1,0,4
강등,NNG,1,0,1
강력,XR,1,0,43
강력히,MAG,1,0,2
강매,NNG,1,0,1
강박,NNG,1,0,1
강산,NNP,1,0,1
강세,NNG,1,0,1
강아지,NNG,1,0,1
강압,NNG,1,0,1
강요,NNG,1,0,14
강원도,NNP,1,0,1
강의,NNP,1,0,1
강점,NNG,1,0,7
강제,NNG,1,0,31
