,comment
33,갤럭시탭으로 사용 중인데 로그인 시 인증서 확인이 연결되지 않습니다  너무너무너무 불편합니다
34,앱 오류 심해요 대체 열리지 않을 때가 한두 번이 아니에요 이것 때문에 핸드폰 다시 시작을 몇 번 하게 요 수정 바랍니다 다른 은행 앱은 안 그렇거든요 국민 앱만 이러네요
35,어플이 매우 불안정함 어플 메인화면을 본 것보다 실행 중지 창을 본 게 더 많음
36,로그인을 하라는 건지 말라는 건지 어쩌라는 거죠 비번 오류 3회 떠서 재설정하려고 입력할 거 다 입력했는데 자꾸 필수 항목을 입력해야 된다면서 처음 화면으로 돌아가는 짓을 몇 번이나 반복하는지 모르겠네요 뭐가 안되면 저거 해야 된다 이래놓고서는 하려고 하면 계속 안된다 안된다 이러기나 하고 진짜 쓰라는 거야 말라는 거야
37,몇년쨔쓰는데 올해 들어 오류가 심하네요 로그인부터 안 되고 되더라도 몇 번 튕겨나가서;;
38,신분증 인식 왜 안 돼요 민증 운전면허증 둘 다 안돼요 다른 은행 어플은 다 잘 되는데 국민은행만 안돼요 어플 늘릴 생각 말고 하나를 만들어도 똑바로 만들었으면 좋겠다
39,지금 로그인이 코인 모양만 뜨고 거의 일주일째 들어 기지지가 않습니다 어떻게 조치가 좀 안될까요 다시 깔아봐도 안되고
40,거지 x 구멍 호박씨 빼 드시려고 하네
41,며칠째 로그인이 안 되는 건가 미치겠네 언제 고칠 겁니까 지문 인식하면 튕겨요
42,앱 로그인 좀 하게 해주라 로그인 화면 멈췄다 이거 개선 좀 해라 월급 루팡 개발진들아 쌉소리 오류 해결이라고 해놓고 정작 다해봐도 안되는 건 무슨 심보냐
43,평소에 아이디와 비밀번호를 입력하여 로그인하는데 비밀번호 오류 횟수를 초과했습니다 그래서 오류를 해제하고자 어플의 계좌 비밀번호 오류 해제 탭에 들어가서 오류 해제 버튼을 터치했지만 다음 단계로 넘어가지 않고 계속해서 홈의 로그인 화면으로 튕기기만 합니다 영업점에 방문할 시간은 없는데 로그인이 안 되니 아무것도 할 수 없어 답답합니다
