,comment
3601,사용하기가 쉬워서 어르신들도 쉽게 접근하실 것 같아요 한 번에 모든 걸 볼 수 있고 빠르게 이체할 수 있어서 좋아요
3602,가장 오랫동안 사용해온 스타뱅킹 타은행 쓰기 전엔 이렇게 좋은 앱인가 했는데 직관적이고 친절한 은행 어플입니다
3603,스마트한 시대에 비대면 은행 업무를 손안에서 볼 수 있다는 장점과 한눈에 나의 재정상태를 체크할 수 있어 좋다 그리고 고객 등급이 올라갈수록 매월 받는 쿠폰을 쓰는 재미가 쏠쏠하다
3604,잘 쓰고 있습니다 그러나 많은 국민은행 관련 어플들을 일일이 다운로드해야 하는 건 개선됐으면 좋겠네요 어느 정도는 통합됐으면 하는 마음입니다
3605,리브 리브 메이트 통합할 수는 없나요 주거래은행이라 쓰고 있기는 하나 여러 앱을 깔아야 해서 불편하기도 합니다 카카오뱅크처럼 계모임 할 때 모든 친구들이 다 볼 수 있는 계좌도 있었으면 좋겠어요 아니면 있는 건지 제가 못 찾는 건지 모르겠지만요
3606,국민 주거래은행으로 계속 써왔네요 편하게 잘 사용하고 있어요
3607,아이 것도 별명 지어 함께 관리하는데 너무 편리해요
3608,사용하기 편해요
3609,사용하기 편리합니다 특히 빠른 이체랑 다른 뱅킹 관리도 좋은 것 같아요
3610,잘 안 열릴 때가 있어요
3611,금융거래를 내가 원하는 곳에서 편한 시간에 할 수 있어요 지점 방문할 필요가 없어 기다릴 필요도 없고 금융거래를 내 손으로 직접 처리하니 너무 편해요
3612,아주 편리합니다 좋아요 
3613,편하게 이용할 수 있고 점점 개선되는 모습이 보이는 어플
3614,익숙해지기만 하면 타은행 어플보다 사용하기가 편리해서 좋아요
3615,좋아요 편하게 이용할 수 있고 앱 아이콘도 노란색으로 이쁜 거 같아요 간편한 게 최고 장점입니다
3616,앱이 일주일째 열리지도 않고 폰을 freezing 상태로 만들어 너무 불편합니다 그리고 한참 후에 앱이 반응하지 않는다고 메시지나 뜨고  제거하고 다시 깔아보는 중입니다 에러가 생기면 빨리 해결해줘야 하는 거 아닌가요
3617,오류 많고 잘 안돼요
3618,편리합니다
3619,처음엔 적응 시간이 필요했는데 지금은 이체를 비롯한 사용이 편리해요
3620,잘 사용하고 있습니다
3621,20년 전 스스로 개설한 첫 계좌 학자금이며 대출이며 월급이며 애들 양육수당 보험까지 늘 곁에 둔 든든한 은행 스타뱅킹으로 수수료며 번거로운 금융 업무까지도 한 번에 해결할 수 있어서 너무 좋아요
3622,편리하게 잘 사용하고 있습니다 어플 사용도 간단하고 계속 써왔지만 튕기거나 깨지는 현상도 없습니다
3623,너무 편리하게 잘 되어 있네요 타은행 계좌도 관리할 수 있고 잔액 모으기도 너무 괜찮은 아이디어인 것 같아요 많은 정보를 한눈에 볼 수 있도록 잘 디자인되어 있어서 참 좋은 것 같아요
3624,모든 계좌를 한 페이지에 눈에 잘 들어오게끔 되어있어요 은행에서 할 수 있는 거의 모든 일을 할 수 있어요 편리
3625,사용하기 편해요
3626,모바일 인증서로 바뀐 후 로그인이 쉬워졌어요
3627,보기도 편하고 리브나 다른 것도 함께 연동되어서 편합니다 간편 비밀번호도 편합니다 추천합니다
3628,저는 kb 오랫동안 이용 잘하고 있어요 다른 타사에 더 간편한 앱들도 많지만 별로 옮기고 싶다는 생각 안 들어 꾸준히 이용하고 있어요 좋습니다
3629,로딩도 안 걸리고 편리하게 사용하고 있습니다 오픈뱅킹으로 타 계좌도 쉽게 열람할 수 있게 되어 좋네요
3630,편리하고 좋아요
3631,역시 대한민국은행은 국민은행
3632,주거래 은행이라 잘 쓰고 있습니다 다만 관련된 앱이 너무 많아요
3633,타행 어플에 비해 사용하기 편리합니다 속도도 많이 빨라지고 메뉴선택하기도 쉽게 돼있습니다
3634,편하고 좋아요 간편 로그인도 지문인식도 잘되고 좋습니다
3635,다른 은행 앱들과 비교해서 앱의 구성이 매우 직관적임 무엇을 눌러야 원하는 것을 선택할 수 있는지 알기 쉬움 앱이 점점 좋아지는 것을 오랜 유저들은 알고 있을 것임
3636,타 은행에 비해서 불편하다는 점 많이 없이 유용하게 쓰고 있습니다 온라인 앱은 무조건 연동 잘 되고 눈에 잘 보이게 만들면 고객들이 쓰기에 편해지고 용이해지죠 앞으로도 노력하여 계속 업그레이드되는 국민 뱅크 앱 되기를 바랍니다
3637,작년에 비해 스타뱅킹 로그인하는 것이 익숙해졌습니다 공인인증서 외에 간단한 방법으로 로그인할 수 있어 편리합니다
3638,은행 앱 중 가장 많이 사용하고 있어요 사용하기 편하고 속도도 빨라요 최고
3639,잘 쓰고 있어요
3640,한눈에 잘 들어오고 사용하기 쉬게 되어있어서 좋아요 서비스가 점점 더 다양해져서 좋네요
3641,편리하게 사용 중입니다 반응속도가 빨라요
3642,저는 직장생활과 동시에 KB 스타뱅킹만 사용합니다 저랑 궁합이 딱 맞아요 추천
3643,주거래은행이라 많이 사용하는 데 편리하네요
3644,굿
3645,모바일 인증서 발급 사용하는 것이 좋아요
3646,언제 어디서나 편하고 빠르게 사용되는 참 좋은 앱임
3647,간편하고 각종 이벤트와 더불어 한 번에 보기 편하다
3648,오류 없이 잘 사용하고 있어요
3649,늘 믿음이 가는 든든한 국민은행입니다 앱이 사용하기 편리하게 되어 있어요
3650,항상 편리하게 사용할 수 있게 해주셔서 감사합니다
3651,주거래은행이라 자주 씁니다 아직까진 멈추거나 하는 거 없이 잘 쓰고 있습니다 대출 상환도 모바일뱅킹 덕분에 은행 안 가고 편하게 했어요
3652,국민은행만 사용하는 애용자예요 너무 좋아요 꼭 추천이요
3653,어려움 없이 잘 쓰고 있어요 다만 가끔씩 이체 시 조금 늦게 뜰 때가 있는데 와이파이나 데이터전송의 문제이겠지 생각함
3654,Kb국민은행 앱 잘 쓰고 있습니다 저의 핸드폰에서 렉도 잘 안 걸리고 좋네요
3655,안녕하세요 스타뱅킹 이용자입니다 주로 이체와 적금을 많이 사용합니다 날짜와 메모를 검색하여 오래되어 잊은 내역을 찾아보기 좋더라고요 그런데 입금자명 업체명 확인하고 싶을 때가 있는데 두세 글자 정도만 나와서 다른 앱을 통해 재검색하는 경우가 있습니다 풀네임을 볼 수 있는 계좌번호도 함께 기능이나 방법이 있다면 알려주세요  간편하게 은행을 이용할 수 있는 앱 제공 감사합니다 평안한 하루 보내세요
3656,다양한 구성과 사용하기 편리하고 안전함 자산관리 은행 입출금 상황 이벤트 소식 리브 등 다양한 소식을 구성하여 사용 편리 다만 다양성을 한 화면에 두니 좀 복잡한 감도 있지만 이에 대한 보완으로 화면 제일 아래 간편 아이콘이 있어 간단히 내가 원하는 정보를 찾기 좋음 국민 리브는 이벤트도 많이 하니 참고하면 좋을 듯
3657,너무 편한 앱 타은행도 볼 수 있어 더 편해졌어요
3658,화면이 깜빡거려요
3659,새롭게 설치했는데 여러 가지 금융 정보를 한눈에 볼 수 있어 편리합니다
3660,빠른 속도로 이체 및 조회 각종 금융상품정보 좋아요
3661,오류도 없고 편하게 잘 쓰고 있습니다 은행 어플 중 최고
3662,KB 외에도 3개 은행 3개 카드사 증권사 등 여러 금융앱을 사용하고 있는데 가장 직관적이고 편리한 앱인 듯 앱 이용 편리로 주거래은행이 되고 있습니다 시각적 부드러움이나 가독성도 좋음 단 리브 메이트 이벤트 리브환저 등 하나로 통일되지 않아 여러 앱을 설치하고 다른 앱으로 왔다 갔다 하는 거 개선됨 좋을듯합니다
3663,입출금 표시가 된 것도 있고 안 된 것도 있고 잔액이 맞은 건지 안 맞은 지 다른 은행 통장은 사용할 때마다 입출금 표시가 되는데 국민은행은 왜 이래요 어디서 얼마를 썼는지 알 수가 없어
3664,깔끔하고 빨라진 느낌
3665,KB 스타뱅킹 사회 초년생 때 적금을 시작으로 쭉 이용하고 있습니다 영업점 방문 없이 간편한 적금 가입 예금 가입 가입할 수 있는 상품의 폭이 넓다는 게 장점 중의 장점이에요
3666,업데이트하고 앱이 검정 흰 바탕이 번갈아 뜨면서 안 열려요 어플 이용을 못해요 위에 v3 지우고 새로 깔아보라고 해서 했는데 여전히 안됩니다
3667,전 kb국민은행이 주거래 은행인데 스타뱅킹 사용할 때 편하고 이벤트도 많고 주식계좌 연계도 되고 여러모로 편리하게 잘 사용하고 있어요 추천합니다
3668,간편 이체가 편리해요
3669,사용하기 싑고 편리함
3670,주거래은행으로 20년 넘게 이용 중입니다 뱅킹 앱도 타은행보다 사용자들이 편리하게 잘 만들어져 있습니다 가끔씩 공동 인증받을 때 시간이 걸리는 경우를 빼면 큰 불편함은 없습니다
3671,25년간 국민은행을 주거래 은행으로 사용하는 애용자입니다 특히 KB국민은행 스타뱅킹을 모바일에서 많이 사용하는데 요 근래 오픈뱅킹 신청도 같이해서 잔액조회 이체 거래내역 조회 등 다른 거래 은행 업무까지 KB국민은행 스타뱅킹에서 한 번에 손쉽게 하고 있네요 카테고리가 섹션 별로 잘 나뉘어 있어 이용하고 싶은 항목 찾기가 편하고 KB 국민 다른 계열사 KB카드 KB손해보험 등 이동도 용이해서 편하게 잘 이용하고 있습니다 앞으로도 많이 이용할게요
3672,아주 직관적이고 보기가 편합니다 잘 쓰고 있습니다
3673,화면이 쓰기에는 편하게 되어 있으나 글씨가 작아서 좀 불편한 점이 있습니다
3674,간편하게 업무도 가능하고 한눈에 보이니 편해요 이벤트까지 쏠쏠하네요
3675,20년을 넘게 주거래 은행으로 쓰고 있어서 앱도 깔아서 쓰고 있는데 앱을 쓰면서 오류가 별로 없고 해서 쓰기가 편해요
3676,오픈뱅킹도 깔끔하게 잘 돼있고 계열사 정보도 한 번에 볼 수 있어 좋아요 화면전환이나 인증할 때 로딩 시간이 좀 더 빨라졌으면 더 좋을 거 같아요
3677,빠른 실행과 한눈에 볼 수 있는 계좌 정보 등 편리하게 사용하고 있습니다
3678,어제부터 화면이 깜빡거리며 튕깁니다 다른 은행 앱은 괜찮은데 스타 알림도 같은 현상인 걸 보니 국민은행 앱이 문제인 것 같습니다
3679,항상 국민은행 쓰는 거 같은데 편리하기도 하고 화면이 예쁘기도 함
3680,사용도 편리하고 접근성이 우수합니다
3681,앱 구성이 편리하고 빠르게 사용할 수 있어서 강추
3682,안정적이다
3683,쉽게 볼 수 있게 구성되어 있어서 좋아요 타은행 정보도 확인할 수 있고요 좋은 점이 많은 것 같아요
3684,편리하게 사용하고 있습니다
3685,주거래 은행으로 잘 사용하고 있는데요 다만 개선될 점이 있다면 패턴으로 로그인 시에 가끔씩 튕겨져나가는 오류가 빈번하게 있어서 이거 외에는 편하게 사용하고 있어요
3686,국민은행 앱이라 믿을 수 있어요 앱이 약간 무거운 거 같긴 해요
3687,주거래은행으로 잘 사용하고 있습니다 지문인식도 잘되고 로그인할 때 전혀 문제점이 없어요 메뉴도 보기 쉽게 되어있어서 편하게 이용 중이고 이체하는 것도 편해서 좋아요
3688,국민 앱에서 오픈뱅킹 이용하면 타사에 비해 매우 편리합니다 한눈에 보기도 쉽고 송금이 쉽습니다
3689,너무 좋아요
3690,간편 기능도 편하고 눈에 쏙 찾기 좋아서 너무 좋아요
3691,비대면 계좌 개설을 위해 스타뱅킹을 설치했는데 생각보다 수월하게 계좌를 개설했네요 앞으로 유용하게 쓸 거 같아요
3692,모바일 공인인증서와 모바일 otp를 사용하니 어디서나 간편하고 쉽게 은행 업무를 볼 수 있습니다 게다가 다른 은행 계좌도 한꺼번에 통합 관리하고 수수료 없이 타은행 계좌에서 국민은행 계좌로 송금 받을 수 있어 시간과 비용 모두를 아낄 수 있어서 좋습니다
3693,이해하기 쉽게 잘 정리돼 있어서 매우 만족합니다
3694,편리하고 이벤트도 많아서 편하게 잘 사용하고 있어요
3695,2014년부터 꾸준히 써온 국민은행 어플 8년째 잘 쓰고 있네요 2000년대 대학시절 락스타라는 이름으로 캠퍼스에서 알게 되었던 저의 첫 은행 이자 평생 함께할 국민은행 오래오래 함께 갑시다
3696,편리하고 빨라요 디자인이 깔끔해서 가독성이 좋네요 이런 편리함 때문에 kb 스타뱅킹만 계속 이용하게 되네요
3697,자주 사용하고 있어요
3698,사용하기 편한 게 되어있어요 필요한 것을 한눈에 찾기 쉬워서 조회 대출 등 은행에 가거나 전화하지 않아도 쉽게 궁금한 것들을 찾아 확인하기 편하네요
3699,전부터 사용해왔는데 편리하고 접근성도 좋고 원하는 걸 쉽게 찾을 수 있어요 화면 분위기도 맘에 드네요
3700,사용하기 편하고 쉬워서 좋아요
3701,자주 사용하고 직관적으로 디자인돼서 쓰기가 편해요 오류도 거의 없고요
3702,편하고 빨라요 오류도 별로 없어요
3703,직접 사용해보니 편리하고 좋아요
3704,은행에 가지 않아도 핸드폰만 있으면 모든 금융업무를 볼 수 있어서 너무 편리합니다 최근 모바일 인증서도 발급받아 OTP 없이 이체 업무가 가능해졌어요 너무 편해요
3705,편하고 빨라서 좋아요
3706,편하게 잘 사용하고 있습니다 은행에 가야 하는 번거로움을 하지 않아 좋습니다
3707,국민은행 스타뱅킹을 자주 사용하는데 속도나 사용함에 있어서 편리하고 좋아요 다만 국민은행 국민카드 등등 어플 종류가 너무 많아서 통합이 되면 더 좋을 것 같다는 생각이 드네요
3708,항상 편리하게 잘 이용하고 있어요
3709,편하게 잘 쓰고 있어요 가끔 렉이 걸리긴 하지만 금방 돌아와요
3710,편리하게 잘 이용하고 있습니다 국민은행 관련 앱스토 알림 마이 머니 리브 메이트를 어쩌다 보니 다 갖고 있는데 굳이 따로 있을 이유를 잘 모르겠네요;
3711,잘 사용하고 있어요 타은행 뱅킹보다 보기도 쉬워요
3712,잘 사용하고 있습니다
3713,KB 어플만 사용하는데 편리하고 좋습니다 앞으로 더 나은 서비스 부탁드리며 핸드폰 인증 외의 다른 방식도 추가되면 좋을듯싶습니다
3714,스타뱅킹 앱 오래 사용한 터라 익숙하고 편하게 잘 사용하고 있어요
3715,업데이트도 빠르고 잘 사용 중입니다
3716,너무 편해요 역시
3717,이벤트가 많아 좋네요
3718,카드 이용한 것만 있으면 수수료도 없고 포인트 쌓기도 편리해서 아주 좋습니다
3719,사용하기 간편해요 이체할 때도 간편함
3720,보안카드나 인증서 없이 간편하게 타행이체하니까 너무 편합니다
3721,정말 간편하고 안정성도 좋습니다
3722,안정적이고 사용하기 간편해요
3723,휴대폰으로 은행 업무를 간편하게 볼 수 있어 좋습니다 다만 KB 관련 어플들이 너무 많아요 12개 어플로 은행 관련 업무를 할 수 있는 날을 기다리고 있습니다
3724,주거래 은행이라서 꾸준히 이용 중이에요 어플로 예적금 대출도 은행 방문 없이 할 수 있어 편하네요
3725,계좌 정보 한눈에 볼 수 있고 사용하기 편해요 오류도 없네요
3726,대출이자도 타 은행 대비 저렴하고 스타뱅킹 이용 시 빠른 이체 너무 편리합니다 역시 대한민국 1등 은행
3727,여러 은행 앱 쓰지만 가장 편하고 빠릿빠릿하네요
3728,간편 인증으로 편리해진 웹을 잘 사용하고 있습니다 은행에 가지 않아도 예적금과 이체도 편하고 좋습니다
3729,로그인할 때 내가 설정한 방식이 바로 나왔으면 좋겠어요
3730,로그인도 간편하고 계좌가 한눈에 보여 편하게 볼 수 있어 좋네요
3731,사용하기 편리해서 좋아요
3732,오픈뱅킹으로 타은행 거래까지 가능한 아주 유용한 어플이네요 적극 추천이요
3733,어플 실행이 안돼요 새로 깔고 해도 깜박깜박 걸려요
3734,국민은행이 주 은행이라 앱을 사용하고 있는데 로그인도 편하고 점점 발전하는 모습이 보이네요 개인적으로 다른 앱보다 편해 계좌 통합 이후 이 앱만 사용 중입니다
3735,더 다양한 정보와 이벤트 부탁드립니다
3736,좋아요
3737,은행 업무를 보는데 편하다 그러나 앱 가동 속도가 느린 편으로 더 빠르게 가동되면 좋을 것이다 전체적으로 괜찮다
3738,아주 편하게 잘 되어 있는 것 같아요  하기도 편리하고 다른 사람들에게 추천해줘서 같이 쓰고 있어욥
3739,편하게 이용하고 있어요
3740,국민은행 kb 스타뱅킹은 로그인도 쉽고 모바일로 뱅킹하는 화면도 쉽게 이용 가능해서 좋습니다 메뉴도 즐겨찾기 등 설정이 쉽고 카테고리도 단순해서 기능 찾기도 좋고요 다만 리브 리브 메이트 리브 온 등 어플이 너무 많아서 kb 어플 간의 연결성이 아쉽습니다
3741,송금할 때나 잔액조회 등 요즘 다른 것보다 제일 많이 사용 아주 이용이 편함 연말정산 시에도 인증수단으로 이용했음 기기에 약한 편이지만 사용하기 좋음
3742,간편하고 사용하기 쉽게 잘 돼있어요 역시 국민은행
3743,예전 공인인증서 방식은 비번 입력하느라 좀 귀찮은 점이 있었는데 지문인식 가능해지면서 접속하기 수월해졌어요 이체할 때도 Otp 없어도 되니 편함
3744,처음에 접속할 때는 괜찮은데 앱을 종료하고 다시 접속할 때 계속 접속이 안되네요 앱을 지웠다가 다시 깔아도 계속 그럽니다 왜 그런 거죠
3745,시인성도 좋고 빠릅니다 직관적이라 앱 쓰기에 좋네요 이체하는데 빠를 것 같습니다
3746,깔끔한 메뉴 구성으로 직관적임 
3747,신한보단 kb 쥐
3748,이미 모바일 인증서로 쓰고 있는데 가끔 재등록 메시지 올 때가 있습니다 그 점 빼고는 편하게 잘 사용하고 있습니다
3749,디자인 면에서는 깔끔하게 잘해놓으셨는데 속도 부분이 좀 더 개선되었으면 좋겠어요 편리하게 잘 이용할 것 같습니다
3750,금융 어플 중 제일 유용하게 잘 쓰고 있음 물론 다른 것보다 익숙한 것도 있지만 필요한 부분을 찾기도 쉽고 오류도 적음 국민 어플만 다섯 개 일정도로 완전 애정 함
3751,하루 한 번 찾게 되는 어플 은행 갈 일이 없어졌어요 편리하게 잘 사용하고 있습니다 계속해서 잘 사용할 수 있도록 편하고 안전한 거래 되도록 계속 노력해주세요
3752,앱 키면 검은색 화면 흰색 화면 1초씩 무한 반복으로 돌아가면서 뜨고 아무것도 할 수가 없네요 잘 되다가 왜 이러는 거죠 재시작해도 똑같네
3753,국민은행 25년째 이용하고 있습니다 스타뱅킹 편리하고 실용적이라 마음에 들고 많은 사람들에게 홍보와 가입을 추천하고 싶어요
3754,편하게 잘 사용하고 있습니다
3755,한눈에 보기 쉽고 사용이 쉬워요
3756,타은행 앱에 비해 매우 느려서 불편합니다 페이지가 바로바로 넘어가지 않고 로딩 시간이 길어요
3757,사용하기 편한 인터페이스 주거래은행이라 잘 사용하고 있어요
3758,여타 은행 앱에 비해 앱 UI가 보기 편해 쓰면 쓸수록 앱 사용하기가 좋네요
3759,사용하기 편리합니다 다양한 이벤트 제공도 좋습니다
3760,스타뱅킹 잘 이용하고 있어요 앱에서 여러 가지 이용도 편리하고 이체와 잔액조회 등등 여러 가지로 편해요 스타뱅킹 이용 굿
3761,늘 잘 사용하고 있어요
3762,사용 간편하고 편리함
3763,심플하고 사용하기 편해서 나이가 있는 사람들도 간편하게 사용할 수 있습니다 
3764,편하고 좋아요
3765,다른 은행과의 거래도 수월하고 어쩌다 인증서 접속이 잘 안될 때가 있는 거 빼고는 쓰기 편해요
3766,자산관리하기 좋은 어플 타은행 연결계좌 가능 카메라 유용  리브 리브똑똑과 연결돼있고 다양한 이벤트를 참여할 수 있는 어플
3767,시용하기 편리
3768,모은행 접속 오류가 빈번하여 옮겨왔습니다 사용하기 편하고 단순해서 좋습니다
3769,잘 쓰고 있습니다 근데 다른 뱅크 앱보단 살짝 속도 면에서 느린 게 불만입니다 속도 개선이 필요해 보여요 그 외에는 만족합니다
3770,간편하고 보안이 탄탄해서 좋습니다 주 거래로 쓰기 좋은 국민은행이에요 파이팅
3771,사용하는데 불편함이 없었습니다 최근엔 오픈뱅킹으로 다른 은행 계좌도 관리해서 편리하게 이용 중이네요
3772,반응속도가 빠릿빠릿해서 좋아요 이용 중인 은행사가 여러 개가 있는데 속도가 빠르다 보니 주로 kb 스타뱅킹만 이용하고 있습니다
3773,잘 사용하고 있습니다
3774,잘 사용하고 있습니다 좋아요
3775,로그인하는 방법도 간단하고 메뉴 자체가 간결하고 찾기 쉽게 되어있음  앱 시작할 때 나오는 이미지는 계절의 변화도 반영되어 있어 보는 재미가 있음 이벤트 같은 배너도 노출이 잘되어 있어 참여하기도 좋음 여러모로 애용하는 앱 
3776,어플 쓴지 8년이 넘어갑니다 점점 더 편리해지고 이용자 맞춤으로 발전하는 것 같습니다 국민은행이 제 계좌인 분들에게 필수 어플입니다
3777,편리하고 좋아요
3778,은행 뱅킹 중에 제일 편하고 좋아요
3779,사용하기 편리해서 좋아요 주거래은행이 국민은행인데 로딩이나 오류도 적어 만족해요
3780,국민은행 오늘 개설했는데 앱 너무 편하네요
3781,간편한 로그인과 직관적인 어플 구성 추천해요
3782,주거래은행이라 늘 쓰고 있어요 타행계좌도 확인되고 이체까지 다 되니까 뱅킹 앱 이거 하나로 다 되니까 편하고 좋아요
3783,빠른 뱅킹 이체가 가능해서 좋아요 간편해서 좋네요
3784,매우 편리하게 사용 중입니다 로그인도 본인이 원하는 방식으로 선택해서 사용하니 속도도 빠르고 뱅킹 업무 사용에 있어서 불편함 없이 이용 중이에요
3785,자꾸 재부팅 뜨고 안돼요 써야 하는데
3786,검 흰 화면 반복되면서 앱 멈춰버림 s20fe
3787,KB 스타뱅킹 앱 깔끔하고 좋네요 군더더기 없는 디자인과 찾기 쉬운 메뉴 목록들 무엇보다도 은행 업무의 대부분의 기능들을 앱으로 해결할 수 있어서 직장인들의 필수 템이네요
3788,없으면 안 돼요 너무 잘 쓰고 있습니다
3789,편하게 잘 사용하고 있어요 로그인도 간편하고 메뉴도 쉽게 찾을 수 있어 좋아요
3790,진짜 간편하고 빨라요 더군다나 국민은행 것이라 믿음이 가요 금융 기관 앱 중에 젤 최고인 듯
3791,넘넘 좋아요
3792,잘 쓰고 있어요
3793,오늘 아침까지는 잘 썼는데 점심시간부터 접속하면 계속 실행이 안되고 있습니다 검은 화면 됐다가 흰 화면 됐다가 그러고요 재설치 계속해봐도 안되고 있어요
3794,개선을 통해 쓰기 한결 나아진 것은 같은데 리브 메이트 같은 다른 앱들과도 통합되었으면 좋겠어요
3795,주거래 은행이라 제일 많이 쓰는데 로그인 간편하고 앱이 편하고 좋아요 자동이체 결제 모두 만족합니다
3796,잘 쓰고 있습니다
3797,좋아요 편히 쓰고 있어요
3798,다른 은행 계좌 등록해서 한 번에 다 볼 수 있어서 편리하네요
3799,아주 좋습니다
3800,신분증 자동 촬영이 안됩니다 갤럭시 폴드 2
3801,이 앱 물건이다
3802,은행 업무는 꼭 은행에 가서 대면으로만 업무를 보아야 하는 50대 중반의 주부입니다 남들이 폰뱅킹 인터넷뱅킹할 때에도 묵묵히 뚜벅이로 은행에 가곤 했습니다 오래 기다리고 시간 많이 걸려도 그런 거 못하니 별 수 없다고 생각했습니다 너무 어려워서 배울 수가 없었습니다 그런데 국민은행 스타뱅킹 앱은 너무 쉬웠습니다 플레이스토어에서 깔고 등록하는데 알기 쉽고 친절하게 설명되어있어 그대로 따라 하면 되었습니다 신분증 촬영도 한 번에 되었습니다 56년의 뚜벅이 생활에 드디어 작별을 하면서 뭔가 해낸 것 같아 너무 기뻤습니다
3803,쓰기 편하고 좋아요
3804,국민은행 이용하려면 필수죠 이용이 넘넘 편합니다 국민은행
3805,리브 메이트 리브 똑똑 등 다른 앱들이 너무 많은데 단일화가 되었으면 하고요 좀 더 보기에 더 편했으면 합니다
3806,앱이 많이 좋아졌네요
3807,화면이 계속 깜빡깜빡하면서 실행이 안됩니다
3808,편리하게 사용하고 있습니다 앱 구동도 빠르고 좋습니다
3809,스타뱅킹 앱 모바일 인증서 편리하고 좋아요 로그인하거나 이체할 때 따로 번거로운 절차가 없어서 편리한 것 같아요 적금도 은행 방문 없이 가입 가능하고요 다만 국민은행 관련 어플이 여러 개인데 하나로 통합된 앱이 있으면 더 좋을 것 같다는 생각이 드네요
3810,보기 쉽게 정렬되어있고 간편한 기능이 많아서 자주 애용해요
3811,전반적으로 들어갔을 때 보기 편하고 좋은 이벤트 및 상품이 자주 나와서 앱 푸시 해놓는 유용한 은행 어플
3812,좋아요
3813,전 자주 이용하는데 50대라서 2030대보다 검색이 느리지만 한눈에 보기에 편해서 좋아요
3814,주거래 은행이어서 자주 오래 사용하는 어플입니다 주로 사용하는 건 이체고요 든든 간편 인증으로 이체가 편리합니다 그 외 기능을 사용할 일이 없어 다른 부분들에 대해선 잘 모르지만 이 어플로 설정할 수 있는 부분들이 많은 거 같은데 찾기가 어려운 것도 있고 예 문자 알림 서비스 해지 등 고객센터 전화 시 어플에서 설정 가능하다는 안내를 들은 적도 많습니다 국민은행이 어플이 다양하게 많은 거 같은데 사람들이 주로 사용하는 기능들이 모인 통합 어플이 있었으면 하는 생각도 합니다 그래도 다른 은행 어플에 비해 사용하기 편리합니다 수고하세요
3815,어플 이용 시 편리한 점도 있으나 어플이 너무 많아서 사용하려고 할 때 어느 어플을 써야 할지 생각하고 로그인하게 되네요 어플 통합이나 바로 가기 연동이라도 됐으면 좋겠어요 이전보다 멈춤이나 속도는 많이 개선돼서 좋아요 다시 뱅킹 이용하려고 타은행 정리 중이에요
3816,사용하기 편리해요
3817,KB 스타뱅킹 10년째 쓰고 있는데 너무 편리하고 좋네요 역시 은행 1등 kb네요
3818,늘 애용하는 앱 좋아요
3819,편리하게 잘 사용하고 있어요
3820,이용하기 너무 편리하게 메뉴가 구성되어 있고 직관적이라서 어려움이 없음 너무 좋음 
3821,너무 쉽게 잘 이용하고 있습니다 역시 은행은 KB
3822,깔아서 사용 중입니다 은행일 볼 때 지문으로 로그인해서 바로 사용 가능해 아주 편리해요 굳이 전화해서 일일이 번호 누르는 번거로움 없이 잘 쓰고 있습니다
3823,KB 만큼 편하고 좋은 은행도 없습니다 역시 어플도 좋습니다
3824,편리하고 촣아요
3825,누구나 쉽게 인증 비밀번호만 입력하면 1분 이내에 이체 완료되어 쓰기 편하고 자주 이용하게 되네요
3826,아주 좋습니다
3827,국민은행은 오픈뱅킹을 통해 쉽게 입출금이 가능하고 마일리지 적립 다양한 이벤트 쉽고 간편하게 볼 수 있는 서비스가 참 좋은 것 같아요 카드도 국민카드가 적립률이 높고 좋더라고요
3828,예전보다 빨라진 속도는 칭찬합니다 다만 kb 앱이 많아 통합한다면 더 좋을 거 같은 생각입니다
3829,앱을 실행시킬 려 했는데 자꾸 튕깁니다 로그인을 하려 해도 화면이 껴졌다 꺼졌다를 반복하고 있습니다 국민은행 앱 쓰면서 이렇게 불편한 점은 없었는데 문제점이 무엇인지 답변해주세요
3830,편리하고 사용하기 좋아요
3831,잘 쓰고 있었는데 계속 깜박이고 실행이 안돼요
3832,편리하게 잘 사용하고 있어요 점점 더 편리해지고 사용하기 좋은데 비슷한 앱이 여러 개여서 하나로 통합해서 사용하게 되면 사용자 입장에서 더 좋을 것 같아요
3833,너무너무 편리하고 좋아요 국민은행 파이팅 사랑합니다
3834,편리하게 이용할 수 있어서 좋아요
3835,요즘은 너무 앱으로 다른 은행 계좌도 통합해서 사용하니 한눈에 알아볼 수 있어 좋네요
3836,편리하고 좋아요
3837,사용하기 점점 편해지네요 인터넷을 이용한 뱅킹보다 핸드폰 앱으로 사용을 더 많이 하게 되네요
3838,주거래은행이어서 늘 편리하게 사용하고 있어요 국민은행 거래가 있으시다면 꼭 편리한 스타뱅킹은 필수 강추합니다
3839,간편 인증서로 편하게 사용 중입니다 깔끔한 디자인과 새로운 환경에 적응하기 순탄합니다 더욱더 발전하는 스타뱅킹이 되길 바라봅니다
3840,가장 중요한 거 편합니다 모바일의 순기능이네요 쓰기 정말 편하게 되어있어서 잘 쓰고 있습니다
3841,아주아주 편리해요 간단한 입력만으로도 본인확인이 되니 시간 절약도 되고 시간 낭비도 없습니다
3842,깔끔하게 잘 돼있어 사용 잘 하고 있어요
