,count,WORD,TAG,reinforcer,score
205,20,실행,NNG,1,0
207,20,손가락,NNP,1,0
206,20,찾,VV,1,0
221,19,본인인증,NNG,1,0
223,19,해지,NNP,1,0
222,19,민,NNP,1,0
224,19,발급,NNG,1,0
220,19,이제,MAG,1,0
219,19,짜증,NNP,1,0
218,19,접속,NNG,1,0
217,19,이,VV,1,0
236,18,페이,NNP,1,0
245,18,크,VA,1,0
244,18,처리,NNG,1,0
243,18,가입,NNG,1,0
242,18,빼,VV,1,0
241,18,박스,NNP,1,0
240,18,동안,NNG,1,0
239,18,유용,XR,1,0
238,18,오,VX,1,0
237,18,기다리,VV,1,0
233,18,업데이트,NNG,1,0
235,18,만족,NNG,1,0
228,18,표식,NNG,1,0
225,18,지금,MAG,1,0
234,18,적금,NNP,1,0
227,18,서류,NNG,1,0
226,18,은행,NNP,1,0
229,18,정도,NNG,1,0
230,18,개인,NNG,1,0
232,18,통장,NNG,1,0
231,18,남성,NNP,1,0
253,17,이랑,NNP,1,0
259,17,시간,NNG,1,0
258,17,체크카드,NNP,1,0
257,17,정보,NNG,1,0
256,17,자동,NNG,1,0
255,17,제일,NNG,1,0
254,17,문의,NNG,1,0
252,17,뱅킹,NNG,1,0
251,17,요구,NNG,1,0
249,17,표시,NNG,1,0
248,17,진행,NNG,1,0
247,17,해당,NNG,1,0
246,17,부분,NNG,1,0
250,17,요즘,NNG,1,0
265,16,이미,MAG,1,0
268,16,치,VV,1,0
267,16,폰,NNG,1,0
266,16,쓰기,NNP,1,0
264,16,거지,NNG,1,0
263,16,잔액,NNG,1,0
262,16,고객,NNG,1,0
261,16,해보,VV,1,0
260,16,며칠,NNG,1,0
275,15,마케팅,NNP,1,0
279,15,어쩌,VV,1,0
278,15,추가,NNG,1,0
277,15,고치,VV,1,0
276,15,확실,XR,1,0
272,15,업무,NNG,1,0
274,15,오해,NNP,1,0
273,15,답,NNG,1,0
271,15,보니,NNP,1,0
270,15,더럽,VA,1,0
269,15,설정,NNG,1,0
290,14,자체,NNG,1,0
300,14,정신,NNG,1,0
299,14,짱,MAG,1,0
298,14,보안,NNP,1,0
297,14,휴대폰,NNG,1,0
295,14,엄청,MAG,1,0
294,14,모임,NNP,1,0
293,14,지나,VV,1,0
292,14,복잡,XR,1,0
291,14,사과,NNG,1,0
296,14,홍보,NNG,1,0
289,14,새로,MAG,1,0
287,14,예,NNG,1,0
286,14,신용,NNG,1,0
285,14,상황,NNG,1,0
284,14,개선,NNG,1,0
283,14,세이프,NNP,1,0
282,14,아예,MAG,1,0
281,14,한도,NNP,1,0
280,14,대체,NNG,1,0
288,14,금리,NNG,1,0
317,13,아직,MAG,1,0
313,13,글,NNG,1,0
315,13,그림,NNG,1,0
316,13,배송,NNG,1,0
321,13,다르,VA,1,0
318,13,이,NNP,1,0
319,13,장난,NNG,1,0
320,13,최근,NNG,1,0
311,13,해고,NNG,1,0
312,13,카,MAG,1,0
314,13,핸드폰,NNP,1,0
310,13,나가,VV,1,0
304,13,넘,VV,1,0
309,13,갈아타,VV,1,0
301,13,시도,NNG,1,0
303,13,입력,NNG,1,0
302,13,시스템,NNG,1,0
305,13,이미지,NNG,1,0
306,13,지금,NNG,1,0
307,13,남기,VV,1,0
308,13,길,NNG,1,0
347,12,도대체,MAG,1,0
341,12,을,NNG,1,0
342,12,해주시,NNP,1,0
343,12,간단,XR,1,0
344,12,수고,NNG,1,0
345,12,특정,NNG,1,0
346,12,오해,NNG,1,0
352,12,하네,NNP,1,0
348,12,실망,NNP,1,0
349,12,찍히,VV,1,0
350,12,옮기,VV,1,0
351,12,화면,NNG,1,0
353,12,사건,NNG,1,0
354,12,어렵,VA,1,0
339,12,빠져나가,VV,1,0
340,12,친구,NNG,1,0
330,12,본인,NNG,1,0
338,12,자르,VV,1,0
329,12,느리,VA,1,0
337,12,정확,XR,1,0
323,12,정상,NNG,1,0
324,12,시키,VV,1,0
325,12,떨어지,VV,1,0
327,12,자주,MAG,1,0
328,12,니다,NNP,1,0
326,12,답변,NNG,1,0
322,12,실명,NNP,1,0
331,12,이미지,NNP,1,0
332,12,모두,MAG,1,0
333,12,생기,VV,1,0
334,12,기존,NNG,1,0
335,12,적,VA,1,0
336,12,짓,NNG,1,0
364,11,경우,NNG,1,0
371,11,풀,VV,1,0
370,11,점령,NNG,1,0
369,11,곳,NNG,1,0
368,11,아쉽,VA,1,0
367,11,버튼,NNP,1,0
366,11,등록,NNG,1,0
365,11,언제,MAG,1,0
362,11,굳이,MAG,1,0
363,11,믿,VV,1,0
361,11,설명,NNG,1,0
360,11,위하,VV,1,0
359,11,가,VX,1,0
358,11,시간,NNP,1,0
357,11,안전,NNG,1,0
356,11,비하,VV,1,0
355,11,절차,NNG,1,0
394,10,낮,VA,1,0
389,10,상담원,NNG,1,0
390,10,종료,NNG,1,0
391,10,같이,MAG,1,0
392,10,홍보물,NNG,1,0
393,10,아,IC,1,0
398,10,패턴,NNP,1,0
395,10,처벌,NNG,1,0
396,10,하,NNG,1,0
397,10,혜택,NNG,1,0
387,10,항상,MAG,1,0
399,10,만족,NNP,1,0
400,10,싫,VA,1,0
388,10,성,NNG,1,0
379,10,대응,NNG,1,0
386,10,차별,NNP,1,0
378,10,물론,MAG,1,0
385,10,혐오,NNG,1,0
372,10,이슈,NNG,1,0
373,10,걸리,VV,1,0
374,10,다운로드,NNP,1,0
376,10,사과문,NNG,1,0
377,10,에러,NNG,1,0
375,10,편의,NNG,1,0
380,10,제출,NNG,1,0
381,10,모바일,NNP,1,0
382,10,무한,NNP,1,0
383,10,바람,NNG,1,0
384,10,먹,VV,1,0
422,9,직접,MAG,1,0
430,9,결과,NNG,1,0
423,9,얼마,NNG,1,0
425,9,안내,NNG,1,0
426,9,내,VV,1,0
427,9,일반,NNG,1,0
428,9,텐,NNG,1,0
429,9,미치,VV,1,0
437,9,상태,NNG,1,0
431,9,카카오톡,NNP,1,0
432,9,갈이,NNG,1,0
433,9,영상,NNP,1,0
434,9,중지,NNG,1,0
435,9,별점,NNG,1,0
436,9,시작,NNG,1,0
438,9,부모,NNG,1,0
420,9,타행,NNG,1,0
421,9,다운,NNP,1,0
424,9,다음,NNG,1,0
419,9,전혀,MAG,1,0
410,9,뒤,NNG,1,0
418,9,완료,NNG,1,0
402,9,막,VV,1,0
403,9,조회,NNP,1,0
404,9,사용자,NNP,1,0
405,9,꼭,MAG,1,0
407,9,당하,VV,1,0
408,9,베,NNG,1,0
409,9,켜,VV,1,0
406,9,카메라,NNG,1,0
411,9,갤럭시,NNP,1,0
413,9,덕분,NNG,1,0
414,9,시대,NNG,1,0
415,9,앞으로,NNP,1,0
401,9,이건,NNP,1,0
416,9,나락,NNG,1,0
412,9,답답,XR,1,0
417,9,가장,MAG,1,0
466,8,신뢰,NNG,1,0
469,8,계정,NNP,1,0
468,8,케이,NNP,1,0
467,8,작,VA,1,0
462,8,주민등록증,NNP,1,0
465,8,실패,NNG,1,0
463,8,똑같,VA,1,0
471,8,힘들,VA,1,0
470,8,궁금,XR,1,0
480,8,충전,NNG,1,0
472,8,마,NNG,1,0
473,8,안녕,NNP,1,0
474,8,이해,NNG,1,0
475,8,공지,NNP,1,0
476,8,어떡하,VV,1,0
477,8,기분,NNG,1,0
478,8,그만,MAG,1,0
479,8,수정,NNP,1,0
460,8,하루,NNG,1,0
481,8,안드로이드,NNP,1,0
461,8,주식,NNG,1,0
464,8,잘못,NNG,1,0
459,8,사태,NNG,1,0
448,8,이제,NNG,1,0
458,8,사,NNG,1,0
439,8,입장,NNG,1,0
440,8,거르,VV,1,0
441,8,계좌이체,NNG,1,0
443,8,당장,NNG,1,0
444,8,업체,NNG,1,0
445,8,면,NNG,1,0
446,8,신청,NNP,1,0
447,8,가지,VV,1,0
442,8,관련자,NNG,1,0
449,8,의도,NNG,1,0
451,8,서,VV,1,0
452,8,이상,XR,1,0
453,8,꺼지,VV,1,0
454,8,불가,NNG,1,0
455,8,못쓰,VV,1,0
456,8,내용,NNG,1,0
450,8,상품,NNG,1,0
457,8,뱅,NNG,1,0
517,7,겨우,MAG,1,0
521,7,속,NNG,1,0
520,7,기기,NNP,1,0
519,7,열,IC,1,0
510,7,입력,NNP,1,0
518,7,인지,NNP,1,0
514,7,빛,NNG,1,0
516,7,살,VV,1,0
515,7,뭘,IC,1,0
513,7,판단,NNG,1,0
512,7,프로그램,NNG,1,0
523,7,본인확인,NNG,1,0
522,7,추,NNP,1,0
533,7,비싸,VA,1,0
524,7,차리,VV,1,0
525,7,현상,NNG,1,0
526,7,그대로,MAG,1,0
527,7,집,NNG,1,0
528,7,이용자,NNG,1,0
529,7,냐,NNG,1,0
530,7,까먹,VV,1,0
531,7,실수,NNG,1,0
