,score,comment
15,1,급히 돈이 필요해서 대출받으려고 한도 조회했는데 한도가 된다고 했다가 신청하려고 하니까 대출이 안된다고 했다가 다시 하니까 한도가 0원 이랬다가 계속 바뀌는데 이거 쓸 수 있겠냐
32,1,신분증 인증을 원하면 제대로 인증되게 해줘요 뭔 인식도 못 하면서
